sample_idx,R_um,deltaR_nm,kappa,neff,loss_dB_cm,T_on_at_nominal_laser,BER_est,ER_drop_db,contrast_drop_pct,tau_ps,Q_drop,IL_th_dB
328,2.4142333946160712,-14.3376053839287,0.5405765864333811,2.406525736874212,0.09626995859197214,1.346385348584626,0.0,21.289789053323016,99.25694477110255,0.022370929066938387,27.145778710015772,1.2586869409492388e-05
329,2.3970364539001214,-31.53454609987845,0.6564860530901655,2.399894359186058,0.10168910299302268,0.20070473843682915,0.0,17.074954162773263,98.03887812614592,0.02091727977855618,25.634658664666166,2.1446346110379805e-05
330,2.4455648338819027,16.993833881903008,0.6367663216458491,2.3897161890655028,0.09488035470245128,2.2886579485596212,0.0,17.769539496874057,98.32873218259685,0.021588584490437063,26.042760690172543,1.8846492137845167e-05
331,2.4377732281165176,9.202228116518036,0.5873599738081062,2.399966082084466,0.08832583884455301,1.1813912673593883,0.0,19.54385062817932,98.88925354157695,0.02163545824362637,26.07101775443861,1.4257260992621245e-05
332,2.4310523609567842,2.481360956784278,0.5904847136822385,2.3982979804093905,0.09226660130646769,8.927633816945278,0.0,19.429796163519505,98.85969669346316,0.021486716527556998,25.981245311327832,1.5048606569127936e-05
333,2.4208565626545884,-7.714437345411237,0.6276853976104885,2.3983276356407046,0.09354912825078839,1.2853749311624267,0.0,18.09156679593738,98.44817294073694,0.02224155259338254,27.007047768206775,1.7724787965841662e-05
334,2.4109923603306305,-17.578639669369277,0.6697215243828578,2.4002922737053605,0.11231282521873372,0.5326554713204866,0.0,16.27490028164823,97.64218366684175,0.022102668877312888,26.926109660574436,2.512997184554162e-05
335,2.4005007881527245,-28.07021184727516,0.5827407431521642,2.401092529053823,0.10193733457004817,0.18567797125136565,0.0,19.712868928658263,98.93165110012876,0.02099856856869584,25.68442110527632,1.589036946865019e-05
336,2.460056155734564,31.485155734564515,0.6267265655219382,2.401604608702962,0.09774822564328146,0.16812505885645734,0.0,18.125637735905144,98.46029958649225,0.022062962257397747,26.32733183295824,1.8746546776733827e-05
337,2.4295851951013954,1.0141951013954027,0.5561697121950829,2.408398803288591,0.10297102968159158,0.9952121312311608,0.0,20.69904081484694,99.14867395822739,0.021641684244882477,26.074768692173045,1.450215146898603e-05
338,2.432986795217076,4.415795217075834,0.5747897030070003,2.3939092239542688,0.09830702307114102,7.739764047547918,0.0,20.005502120640664,99.00126610790491,0.02144207010545983,25.95423855963991,1.501725274213684e-05
339,2.4349369397048712,6.3659397048713515,0.6212082843012146,2.3991584463113624,0.09741317784629099,2.7970456782434088,0.0,18.322243457779162,98.52844786134789,0.021570760927323678,26.032008002000502,1.8077679896696854e-05
340,2.4251026310448065,-3.4683689551934793,0.585290345799892,2.393380601543929,0.09859235051277276,0.9863369404990373,0.0,19.41446499321539,98.85566415828822,0.021930128554410663,26.637136234869896,1.5694358242107267e-05
341,2.431360336639196,2.7893366391959677,0.622807971247983,2.4024098477639484,0.11294056740999894,2.9974377121435736,0.0,18.26507794780098,98.50895000636812,0.021565788223395676,26.029007251812953,2.1066357593404796e-05
342,2.4657475568185214,37.17655681852182,0.5931018994837556,2.3898195290479363,0.103544781053871,0.19643823739831445,0.0,19.33440238042424,98.83437256171194,0.021948273556537924,26.258814703675917,1.7318074762679113e-05
343,2.3991862103573847,-29.384789642615342,0.5229626668279582,2.3983373129027106,0.10159293792971368,0.11780720263557502,0.0,21.969124324360134,99.36454095233385,0.020927483279742785,25.64091022755689,1.220674936784955e-05
344,2.422217921926038,-6.35307807396197,0.5651960642922528,2.3981642801200405,0.09635058872315408,1.331870418312995,0.0,20.361351726033895,99.07983687030291,0.022333440797281282,27.105263157894765,1.4065029209997273e-05
345,2.42132449944784,-7.246500552159908,0.5614130358171854,2.398628295962434,0.10528767342059174,1.2058850364518894,0.0,20.502491335768482,99.10926018247358,0.02220936460149016,26.959364417817117,1.5116234545820587e-05
346,2.413731867738429,-14.839132261570992,0.6469309387930055,2.40606832122326,0.09516926120024305,1.5221225060213146,0.0,17.41077239989828,98.18480720096979,0.022494765266807586,27.306860158311363,1.9444611709692206e-05
347,2.4246577501181275,-3.913249881872189,0.6194308327710449,2.3963212868326043,0.10170851572786153,1.7535823754367146,0.0,18.385673928590986,98.54978428443034,0.022682778572272886,27.522594364699653,1.8658292569321553e-05
348,2.4527041827868308,24.133182786831068,0.5990515558316988,2.4054502886538933,0.10656259180625505,0.1729879803198411,0.0,19.118446360932484,98.77494562986045,0.022001813562668324,26.29082270567642,1.8174835396180562e-05
349,2.4240881369229292,-4.482863077070745,0.6120573936263509,2.398511754193645,0.09294400931545882,2.4726793581502373,0.0,18.649705734556793,98.63532440005213,0.023106553043955546,28.01784748512709,1.6536109405518108e-05
350,2.4259914558035565,-2.579544196443175,0.5715249175660709,2.3961431164651414,0.10815157406204863,2.0052510398411245,0.0,20.126200458013535,99.02864058450122,0.02281950278270932,27.67539406892865,1.6246153049344008e-05
351,2.4257130979889614,-2.8579020110384086,0.5711263982222327,2.400429024640813,0.0982513837838337,6.453062195200139,0.0,20.14102815910588,99.03195134901351,0.02143050268670294,25.947236809202302,1.4732225952749433e-05
352,2.4320135015486786,3.4425015486785657,0.5677503026805175,2.4010665110251592,0.09498973030828789,3.358222790720661,0.0,20.266325973177807,99.0594813697619,0.021553358971519852,26.021505376344084,1.4075643704815243e-05
353,2.4176561929852656,-10.914807014734079,0.6015216854797031,2.3990749457953555,0.1055526962388268,0.7985873496399697,0.0,17.408284588799145,98.18376708863617,0.021843353830009515,26.550218340611387,1.7928887476134108e-05
354,2.427248553889558,-1.3224461104417555,0.5764195154824882,2.395210367710225,0.10921141159003284,2.193123586687413,0.0,19.94530058416252,98.98732534291136,0.021364050595702514,25.906976744186046,1.675930883350459e-05
355,2.3995100565123977,-29.060943487602202,0.5622442533306526,2.4050589893435332,0.09685507353175356,0.203905529470396,0.0,20.471487034584786,99.10287843464151,0.021050938137186864,25.71642910727682,1.3829659516037293e-05
